20161122:11433684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11433684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11433684 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11433684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11443681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11443684 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11443684 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11443684 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11443684 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11443684 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11443684 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11443684 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11443684 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11443684 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11443684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11443684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11443684 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11453681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11453684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11453684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11453684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11453684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11453684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11453684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11453684 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11453684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11453684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11453684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11453684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11453684 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11463681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11463684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11463684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11463684 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11463684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11463684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11463684 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11463684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11463684 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11463684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11463684 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11463684 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11463684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11473681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11473684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11473684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11473684 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11473684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11473684 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11473684 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11473684 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11473684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11473684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11473684 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11473684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11473684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11483681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11483681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11483681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11483681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11483681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11483681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11483681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11483681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11483681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11483681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11483681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11483681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11483681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11483681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

