20161122:11423674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11423674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11423674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11423674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11423674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11423674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11423674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11423674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11423674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11423677 |[UPDATE][pNIC4] pNIC_Latency(530) 

20161122:11423677 |[UPDATE][pNIC4] pNIC_Latency(530) 

20161122:11423677 |[UPDATE][pNIC4] pNIC_Latency(533) 

20161122:11433667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11433667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11433667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11433667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11433667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11433667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11433667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11433667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11433670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11433670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11433670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11433670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11433670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11433670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11433670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11433670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11433670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11433674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11433674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11433674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11433674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11433674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11433674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11433674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11433674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11433674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11433677 |[UPDATE][pNIC4] pNIC_Latency(530) 

20161122:11433677 |[UPDATE][pNIC4] pNIC_Latency(533) 

20161122:11433677 |[UPDATE][pNIC4] pNIC_Latency(531) 

20161122:11443667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11443667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11443667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11443667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11443667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11443667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11443667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11443667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11443670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11443670 |[UPDATE][pNIC2] pNIC_Latency(531) 

