20161122:11443652 |[UPDATE][vSwitch6] vSwitch_Latency(22) 

20161122:11443652 |[UPDATE][vSwitch6] vSwitch_Latency(22) 

20161122:11443652 |[UPDATE][vSwitch6] vSwitch_Latency(22) 

20161122:11443653 |[UPDATE][vSwitch7] vSwitch_Latency(22) 

20161122:11443653 |[UPDATE][vSwitch7] vSwitch_Latency(22) 

20161122:11443653 |[UPDATE][vSwitch7] vSwitch_Latency(22) 

20161122:11443655 |[UPDATE][vSwitch8] vSwitch_Latency(22) 

20161122:11443655 |[UPDATE][vSwitch8] vSwitch_Latency(22) 

20161122:11443655 |[UPDATE][vSwitch8] vSwitch_Latency(22) 

20161122:11443659 |[UPDATE][vSwitch9] vSwitch_Latency(22) 

20161122:11443659 |[UPDATE][vSwitch9] vSwitch_Latency(22) 

20161122:11443659 |[UPDATE][vSwitch9] vSwitch_Latency(22) 

20161122:11443663 |[UPDATE][vSwitch10] vSwitch_Latency(22) 

20161122:11443663 |[UPDATE][vSwitch10] vSwitch_Latency(22) 

20161122:11443663 |[UPDATE][vSwitch10] vSwitch_Latency(22) 

20161122:11453643 |[UPDATE][vSwitch1] vSwitch_Latency(20) 

20161122:11453643 |[UPDATE][vSwitch1] vSwitch_Latency(20) 

20161122:11453644 |[UPDATE][vSwitch2] vSwitch_Latency(23) 

20161122:11453644 |[UPDATE][vSwitch2] vSwitch_Latency(23) 

20161122:11453644 |[UPDATE][vSwitch2] vSwitch_Latency(23) 

20161122:11453646 |[UPDATE][vSwitch3] vSwitch_Latency(23) 

20161122:11453646 |[UPDATE][vSwitch3] vSwitch_Latency(23) 

20161122:11453646 |[UPDATE][vSwitch3] vSwitch_Latency(23) 

20161122:11453647 |[UPDATE][vSwitch4] vSwitch_Latency(23) 

20161122:11453647 |[UPDATE][vSwitch4] vSwitch_Latency(23) 

20161122:11453647 |[UPDATE][vSwitch4] vSwitch_Latency(23) 

20161122:11453649 |[UPDATE][vSwitch5] vSwitch_Latency(23) 

20161122:11453649 |[UPDATE][vSwitch5] vSwitch_Latency(23) 

20161122:11453649 |[UPDATE][vSwitch5] vSwitch_Latency(23) 

20161122:11453652 |[UPDATE][vSwitch6] vSwitch_Latency(23) 

20161122:11453652 |[UPDATE][vSwitch6] vSwitch_Latency(23) 

20161122:11453652 |[UPDATE][vSwitch6] vSwitch_Latency(23) 

20161122:11453653 |[UPDATE][vSwitch7] vSwitch_Latency(23) 

20161122:11453653 |[UPDATE][vSwitch7] vSwitch_Latency(23) 

20161122:11453653 |[UPDATE][vSwitch7] vSwitch_Latency(23) 

20161122:11453655 |[UPDATE][vSwitch8] vSwitch_Latency(23) 

20161122:11453655 |[UPDATE][vSwitch8] vSwitch_Latency(23) 

20161122:11453655 |[UPDATE][vSwitch8] vSwitch_Latency(23) 

20161122:11453660 |[UPDATE][vSwitch9] vSwitch_Latency(23) 

20161122:11453660 |[UPDATE][vSwitch9] vSwitch_Latency(23) 

